"image name ('number of images in this post'_'post number'_'position of the image in this post'_'db name'_'whether image is bw'_'whether image is uploaded to instagram or before uploaded'_'whether image has been ""no modification"", ""resized"" or ""modified""'_'filter name'_'additional data')",instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)","Upload quality (original, resized)",account info,color or gray_scaled
3_02_3_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKhyHpQUH/?igshid=17kuzsjj520ju,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_03_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKjMSJouG/?igshid=fs7iwbomaung,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_02_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKjMSJouG/?igshid=fs7iwbomaung,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_03_3_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKjMSJouG/?igshid=fs7iwbomaung,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_04_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKky7p2sg/?igshid=2ef8thrc8h83,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_04_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKky7p2sg/?igshid=2ef8thrc8h83,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_04_3_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKky7p2sg/?igshid=2ef8thrc8h83,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_05_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKmt5pzGo/?igshid=tctbh3zgnl8h,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_05_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKmt5pzGo/?igshid=tctbh3zgnl8h,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_05_3_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKmt5pzGo/?igshid=tctbh3zgnl8h,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_06_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKrOCp4Sy/?igshid=ynluhjqpn4rf,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_06_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKrOCp4Sy/?igshid=ynluhjqpn4rf,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_06_3_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKrOCp4Sy/?igshid=ynluhjqpn4rf,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_07_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKtviJYuB/?igshid=1gb2u3jxbplhk,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_07_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKtviJYuB/?igshid=1gb2u3jxbplhk,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_07_3_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKtviJYuB/?igshid=1gb2u3jxbplhk,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_08_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKvanJctp/?igshid=yofrwj4kxhhs,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_08_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKvanJctp/?igshid=yofrwj4kxhhs,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_08_3_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKvanJctp/?igshid=yofrwj4kxhhs,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_09_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKw_YJBwC/?igshid=18f6n9adoxhna,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_09_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKw_YJBwC/?igshid=18f6n9adoxhna,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_09_3_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKw_YJBwC/?igshid=18f6n9adoxhna,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_10_1_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKyWPp3Cg/?igshid=15kauwtds86e0,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_10_2_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKyWPp3Cg/?igshid=15kauwtds86e0,3,jpg,resized,islab_compressed_jpg,gray_scaled
3_10_3_com_bw_ins_res_nfit,https://www.instagram.com/p/CCkKyWPp3Cg/?igshid=15kauwtds86e0,3,jpg,resized,islab_compressed_jpg,gray_scaled
